k, value
152,0.77739
152,0.778642
152,0.777867
153,0.781078
153,0.781722
153,0.788441
153,0.787596
153,0.781689
153,0.781445
153,0.787705
153,0.787044
153,0.782003
153,0.77902
154,0.790485
154,0.795074
154,0.785377
154,0.782166
154,0.786255
154,0.783629
154,0.789857
154,0.791729
154,0.786031
154,0.786983
155,0.783904
155,0.789104
155,0.785754
155,0.781304
155,0.788278
155,0.786364
155,0.788675
155,0.787339
155,0.789713
155,0.791281
156,0.787176
156,0.795866
156,0.788179
156,0.791196
156,0.790708
156,0.790193
156,0.794037
156,0.787052
156,0.786838
156,0.785661
157,0.793094
157,0.794908
157,0.794233
157,0.787368
157,0.798976
157,0.791907
157,0.796349
157,0.786428
157,0.793905
157,0.789901
158,0.790838
158,0.792376
158,0.797423
158,0.792629
158,0.791707
158,0.79705
158,0.79076
158,0.791151
158,0.794399
158,0.797081
159,0.794708
159,0.799221
159,0.792007
159,0.802296
159,0.797685
159,0.800375
159,0.799332
159,0.793636
159,0.798365
159,0.794143
160,0.800599
160,0.799876
160,0.793967
160,0.800102
160,0.802057
160,0.794227
160,0.799377
160,0.797692
160,0.795728
160,0.794545
161,0.808014
161,0.804471
161,0.798413
161,0.804914
161,0.7961
161,0.800569
161,0.797603
161,0.792235
161,0.802151
161,0.797929
162,0.800916
162,0.79759
162,0.802632
162,0.801839
162,0.800675
162,0.804573
162,0.805087
162,0.799815
162,0.799625
162,0.797558
163,0.803225
163,0.806364
163,0.80538
163,0.79921
163,0.799287
163,0.803177
163,0.806532
163,0.803732
163,0.803849
163,0.80129
164,0.808085
164,0.804001
164,0.806412
164,0.804339
164,0.80714
164,0.803954
164,0.810065
164,0.799519
164,0.80226
164,0.800023
165,0.80802
165,0.807356
165,0.813261
165,0.805705
165,0.809638
165,0.804179
165,0.809089
165,0.807712
165,0.806983
165,0.808409
166,0.808744
166,0.806347
166,0.807363
166,0.805638
166,0.805167
166,0.810877
166,0.810604
166,0.8088
166,0.813283
166,0.819026
167,0.814414
167,0.807933
167,0.808592
167,0.810188
167,0.815015
167,0.813329
167,0.814317
167,0.807089
167,0.814487
167,0.811053
168,0.812127
168,0.821513
168,0.81504
168,0.813269
168,0.811843
168,0.816196
168,0.810935
168,0.811883
168,0.816566
168,0.813182
169,0.814897
169,0.816894
169,0.817836
169,0.813831
169,0.814974
169,0.812194
169,0.814922
169,0.813566
169,0.818973
169,0.819556
170,0.820754
170,0.818284
170,0.818948
